timestamp,last_price,predicted_prob,actual_class,accuracy,cumulative_pnl,rsi,macd_hist,adx
09:53:47,1905.25,0.0142,0.0,1.0,0.0000,49.40,0.7533,38.95
10:02:35,1900.9,0.0290,1.0,0.0,0.0000,47.72,0.1390,38.19
11:02:39,1905.12,0.0884,1.0,0.0,0.0000,49.46,0.3381,37.46
12:02:41,1906.66,0.0116,0.0,1.0,0.0000,50.28,0.2079,36.78
12:23:29,1905.22,0.3055,1.0,0.0,0.0000,49.66,0.1160,36.67
12:49:04,1905.32,0.0288,0.0,1.0,0.0000,49.70,0.1224,36.67
13:49:09,1915.16,0.0804,0.0,1.0,0.0000,54.00,0.6951,35.02
14:49:10,1920.01,0.0409,0.0,1.0,0.0000,55.98,1.4097,32.90
15:49:14,1919.35,0.6901,0.0,0.0,0.0000,55.76,1.6770,30.93
09:59:10,1868.67,0.0201,0.0,1.0,0.0000,54.14,0.7328,53.13
10:59:15,1864.54,0.0076,0.0,1.0,0.0000,51.20,0.5672,51.36
11:59:16,1856.05,0.0734,1.0,0.0,0.0000,45.58,-0.0909,50.25
12:59:18,1864.34,0.1287,1.0,0.0,0.0000,51.20,0.0609,49.34
13:59:19,1857.77,0.2425,1.0,0.0,0.5828,46.95,-0.3071,48.41
14:59:22,1856.53,0.3673,1.0,0.0,0.5828,46.17,-0.5924,47.76
15:59:24,1866.76,0.0591,1.0,0.0,0.5828,53.07,-0.0979,45.52
16:59:37,1873.26,0.0367,0.0,1.0,0.5828,56.85,0.6378,43.14
17:59:51,1875.22,0.0564,1.0,0.0,-0.3571,58.12,1.4804,37.46
19:00:06,1861.32,0.1051,1.0,0.0,-0.3571,48.49,0.1607,36.23
20:00:19,1872.66,0.0770,1.0,0.0,-0.3571,54.86,1.0328,34.68
21:00:33,1873.09,0.0892,1.0,0.0,-0.3571,55.12,1.0899,32.84
10:10:55,1898.13,0.5903,1,1,-0.3571,43.98,-1.9493,14.59
11:11:02,1902.09,0.0922,1,0,-0.3571,48.52,-1.4272,14.27
11:18:59,1903.78,0.1269,,,-0.3571,50.35,-1.3193,13.85
12:19:03,1906.18,0.1342,,,-0.3571,52.86,-0.8217,12.30
